"SITC","Landen","Perioden","Invoerwaarde (mln euro)","Uitvoerwaarde (mln euro)","Handelsbalans (mln euro)","Jaarmutatie invoerwaarde (%)","Jaarmutatie uitvoerwaarde (%)"
"24 Kurk en hout","EU (exclusief Nederland)","2022 maart*","164","53","-112",".","."
"24 Kurk en hout","EU (exclusief Nederland)","2022 april*","156","44","-112",".","."
"24 Kurk en hout","Niet-EU","2021 mei","73","60","-13","104,4","252,9"
"24 Kurk en hout","Niet-EU","2021 juni","61","56","-4","14,1","210,7"
"24 Kurk en hout","Niet-EU","2021 juli","67","64","-3","17,9","88,7"
"24 Kurk en hout","Niet-EU","2021 augustus","84","63","-21","144,6","127,8"
"24 Kurk en hout","Niet-EU","2021 september","71","58","-13","56,1","58,4"
"24 Kurk en hout","Niet-EU","2021 oktober","55","52","-4","11,3","31,0"
"24 Kurk en hout","Niet-EU","2021 november","66","42","-24","36,1","-3,5"
"24 Kurk en hout","Niet-EU","2021 december","67","26","-41","60,4","-31,6"
"24 Kurk en hout","Niet-EU","2021","742","592","-150",".","."
"24 Kurk en hout","Niet-EU","2022 januari*","70","28","-42",".","."
"24 Kurk en hout","Niet-EU","2022 februari*","62","39","-23",".","."
"24 Kurk en hout","Niet-EU","2022 maart*","81","48","-32",".","."
"24 Kurk en hout","Niet-EU","2022 april*","65","43","-22",".","."
"25 Papierstof en papierafval","Totaal landen","2021 mei","110","101","-8","37,2","29,0"
"25 Papierstof en papierafval","Totaal landen","2021 juni","90","105","14","-21,4","40,6"
"25 Papierstof en papierafval","Totaal landen","2021 juli","134","104","-30","38,7","26,3"
"25 Papierstof en papierafval","Totaal landen","2021 augustus","137","114","-24","28,9","53,7"
"25 Papierstof en papierafval","Totaal landen","2021 september","126","106","-20","45,8","18,6"
"25 Papierstof en papierafval","Totaal landen","2021 oktober","164","113","-51","86,6","38,3"
"25 Papierstof en papierafval","Totaal landen","2021 november","162","113","-49","71,4","47,5"
"25 Papierstof en papierafval","Totaal landen","2021 december","133","123","-10","42,3","19,3"
"25 Papierstof en papierafval","Totaal landen","2021","1.491","1.248","-244","32,0","24,6"
"25 Papierstof en papierafval","Totaal landen","2022 januari*","160","114","-46",".","."
"25 Papierstof en papierafval","Totaal landen","2022 februari*","156","121","-35",".","."
"25 Papierstof en papierafval","Totaal landen","2022 maart*","170","140","-31",".","."
"25 Papierstof en papierafval","Totaal landen","2022 april*","160","138","-22",".","."
"25 Papierstof en papierafval","EU (exclusief Nederland)","2021 mei","67","74","7","23,2","46,2"
"25 Papierstof en papierafval","EU (exclusief Nederland)","2021 juni","63","75","12","-10,2","70,5"
"25 Papierstof en papierafval","EU (exclusief Nederland)","2021 juli","86","74","-13","27,1","56,1"
"25 Papierstof en papierafval","EU (exclusief Nederland)","2021 augustus","72","83","11","4,2","72,8"
"25 Papierstof en papierafval","EU (exclusief Nederland)","2021 september","76","79","3","45,4","41,7"
"25 Papierstof en papierafval","EU (exclusief Nederland)","2021 oktober","93","88","-4","73,3","57,7"
"25 Papierstof en papierafval","EU (exclusief Nederland)","2021 november","89","81","-8","51,9","54,9"
"25 Papierstof en papierafval","EU (exclusief Nederland)","2021 december","89","87","-2","86,1","65,2"
"25 Papierstof en papierafval","EU (exclusief Nederland)","2021","918","882","-35",".","."
"25 Papierstof en papierafval","EU (exclusief Nederland)","2022 januari*","109","84","-25",".","."
"25 Papierstof en papierafval","EU (exclusief Nederland)","2022 februari*","86","81","-5",".","."
"25 Papierstof en papierafval","EU (exclusief Nederland)","2022 maart*","103","87","-15",".","."
"25 Papierstof en papierafval","EU (exclusief Nederland)","2022 april*","118","90","-28",".","."
"25 Papierstof en papierafval","Niet-EU","2021 mei","42","27","-15","67,1","-2,3"
"25 Papierstof en papierafval","Niet-EU","2021 juni","28","30","3","-38,8","-1,8"
"25 Papierstof en papierafval","Niet-EU","2021 juli","47","30","-17","66,6","-14,0"
"25 Papierstof en papierafval","Niet-EU","2021 augustus","65","30","-35","74,9","17,9"
"25 Papierstof en papierafval","Niet-EU","2021 september","50","27","-23","46,4","-19,5"
"25 Papierstof en papierafval","Niet-EU","2021 oktober","72","25","-47","107,4","-3,9"
"25 Papierstof en papierafval","Niet-EU","2021 november","73","32","-41","103,3","31,2"
"25 Papierstof en papierafval","Niet-EU","2021 december","44","36","-8","-3,8","-28,9"
"25 Papierstof en papierafval","Niet-EU","2021","574","365","-208",".","."
"25 Papierstof en papierafval","Niet-EU","2022 januari*","51","30","-21",".","."
"25 Papierstof en papierafval","Niet-EU","2022 februari*","70","40","-31",".","."
"25 Papierstof en papierafval","Niet-EU","2022 maart*","67","52","-15",".","."
"25 Papierstof en papierafval","Niet-EU","2022 april*","42","48","6",".","."
"26 Textielvezels, textielafval en lompen","Totaal landen","2021 mei","32","29","-3","40,5","62,5"
"26 Textielvezels, textielafval en lompen","Totaal landen","2021 juni","32","29","-3","18,3","19,2"
"26 Textielvezels, textielafval en lompen","Totaal landen","2021 juli","34","31","-3","46,7","18,5"
"26 Textielvezels, textielafval en lompen","Totaal landen","2021 augustus","32","26","-6","46,0","34,2"
"26 Textielvezels, textielafval en lompen","Totaal landen","2021 september","33","32","0","23,9","3,8"
"26 Textielvezels, textielafval en lompen","Totaal landen","2021 oktober","34","33","-1","21,7","16,7"
"26 Textielvezels, textielafval en lompen","Totaal landen","2021 november","33","33","-1","28,3","15,9"
"26 Textielvezels, textielafval en lompen","Totaal landen","2021 december","33","30","-3","40,0","32,3"
"26 Textielvezels, textielafval en lompen","Totaal landen","2021","377","353","-24","23,9","18,0"
"26 Textielvezels, textielafval en lompen","Totaal landen","2022 januari*","29","33","4",".","."
"26 Textielvezels, textielafval en lompen","Totaal landen","2022 februari*","24","39","15",".","."
"26 Textielvezels, textielafval en lompen","Totaal landen","2022 maart*","32","44","12",".","."
"26 Textielvezels, textielafval en lompen","Totaal landen","2022 april*","30","38","8",".","."
"26 Textielvezels, textielafval en lompen","EU (exclusief Nederland)","2021 mei","20","13","-7","39,2","45,5"
"26 Textielvezels, textielafval en lompen","EU (exclusief Nederland)","2021 juni","22","14","-7","10,5","46,1"
"26 Textielvezels, textielafval en lompen","EU (exclusief Nederland)","2021 juli","23","17","-6","43,7","64,9"
"26 Textielvezels, textielafval en lompen","EU (exclusief Nederland)","2021 augustus","19","14","-5","27,5","59,7"
"26 Textielvezels, textielafval en lompen","EU (exclusief Nederland)","2021 september","24","16","-8","27,9","24,6"
"26 Textielvezels, textielafval en lompen","EU (exclusief Nederland)","2021 oktober","22","17","-5","10,3","33,0"
"26 Textielvezels, textielafval en lompen","EU (exclusief Nederland)","2021 november","25","15","-9","33,2","22,3"
"26 Textielvezels, textielafval en lompen","EU (exclusief Nederland)","2021 december","23","13","-10","37,6","16,5"
"26 Textielvezels, textielafval en lompen","EU (exclusief Nederland)","2021","256","169","-87",".","."
"26 Textielvezels, textielafval en lompen","EU (exclusief Nederland)","2022 januari*","16","18","2",".","."
"26 Textielvezels, textielafval en lompen","EU (exclusief Nederland)","2022 februari*","13","21","8",".","."
"26 Textielvezels, textielafval en lompen","EU (exclusief Nederland)","2022 maart*","16","25","9",".","."
"26 Textielvezels, textielafval en lompen","EU (exclusief Nederland)","2022 april*","15","19","5",".","."
"26 Textielvezels, textielafval en lompen","Niet-EU","2021 mei","12","16","4","42,8","79,0"
"26 Textielvezels, textielafval en lompen","Niet-EU","2021 juni","10","15","5","39,3","1,0"
"26 Textielvezels, textielafval en lompen","Niet-EU","2021 juli","12","14","2","53,2","-12,4"
"26 Textielvezels, textielafval en lompen","Niet-EU","2021 augustus","13","12","-1","86,9","13,2"
"26 Textielvezels, textielafval en lompen","Niet-EU","2021 september","9","16","7","14,3","-11,0"
"26 Textielvezels, textielafval en lompen","Niet-EU","2021 oktober","11","16","5","52,3","3,3"
"26 Textielvezels, textielafval en lompen","Niet-EU","2021 november","9","17","9","16,2","10,8"
"26 Textielvezels, textielafval en lompen","Niet-EU","2021 december","10","17","7","45,5","47,3"
"26 Textielvezels, textielafval en lompen","Niet-EU","2021","122","184","63",".","."
"26 Textielvezels, textielafval en lompen","Niet-EU","2022 januari*","13","15","3",".","."
"26 Textielvezels, textielafval en lompen","Niet-EU","2022 februari*","11","17","6",".","."
"26 Textielvezels, textielafval en lompen","Niet-EU","2022 maart*","16","19","3",".","."
"26 Textielvezels, textielafval en lompen","Niet-EU","2022 april*","15","18","3",".","."
"27 Natuurlijke meststoffen en ruwe mi...","Totaal landen","2021 mei","118","136","18","16,7","43,3"
"27 Natuurlijke meststoffen en ruwe mi...","Totaal landen","2021 juni","115","125","10","6,3","32,9"
"27 Natuurlijke meststoffen en ruwe mi...","Totaal landen","2021 juli","108","120","12","6,7","28,6"
"27 Natuurlijke meststoffen en ruwe mi...","Totaal landen","2021 augustus","108","120","12","32,8","40,4"
"27 Natuurlijke meststoffen en ruwe mi...","Totaal landen","2021 september","112","132","19","7,5","36,6"
"27 Natuurlijke meststoffen en ruwe mi...","Totaal landen","2021 oktober","101","127","26","-7,3","21,9"
"27 Natuurlijke meststoffen en ruwe mi...","Totaal landen","2021 november","114","142","28","5,3","15,7"
"27 Natuurlijke meststoffen en ruwe mi...","Totaal landen","2021 december","124","144","21","24,1","42,3"
"27 Natuurlijke meststoffen en ruwe mi...","Totaal landen","2021","1.309","1.567","258","8,6","31,1"
"27 Natuurlijke meststoffen en ruwe mi...","Totaal landen","2022 januari*","97","144","46",".","."
"27 Natuurlijke meststoffen en ruwe mi...","Totaal landen","2022 februari*","100","150","50",".","."
"27 Natuurlijke meststoffen en ruwe mi...","Totaal landen","2022 maart*","133","159","26",".","."
"27 Natuurlijke meststoffen en ruwe mi...","Totaal landen","2022 april*","126","158","32",".","."
"27 Natuurlijke meststoffen en ruwe mi...","EU (exclusief Nederland)","2021 mei","75","112","37","9,0","50,9"
"27 Natuurlijke meststoffen en ruwe mi...","EU (exclusief Nederland)","2021 juni","78","100","22","10,2","29,1"
"27 Natuurlijke meststoffen en ruwe mi...","EU (exclusief Nederland)","2021 juli","72","94","22","-1,6","27,6"
"27 Natuurlijke meststoffen en ruwe mi...","EU (exclusief Nederland)","2021 augustus","66","93","27","11,7","35,4"
"27 Natuurlijke meststoffen en ruwe mi...","EU (exclusief Nederland)","2021 september","81","104","24","8,2","37,3"
"27 Natuurlijke meststoffen en ruwe mi...","EU (exclusief Nederland)","2021 oktober","75","104","29","5,3","25,4"
"27 Natuurlijke meststoffen en ruwe mi...","EU (exclusief Nederland)","2021 november","78","112","34","6,8","11,2"
"27 Natuurlijke meststoffen en ruwe mi...","EU (exclusief Nederland)","2021 december","83","115","32","12,4","50,3"
"27 Natuurlijke meststoffen en ruwe mi...","EU (exclusief Nederland)","2021","889","1.261","372",".","."
"27 Natuurlijke meststoffen en ruwe mi...","EU (exclusief Nederland)","2022 januari*","63","121","57",".","."
"27 Natuurlijke meststoffen en ruwe mi...","EU (exclusief Nederland)","2022 februari*","66","119","53",".","."
"27 Natuurlijke meststoffen en ruwe mi...","EU (exclusief Nederland)","2022 maart*","78","130","52",".","."
"27 Natuurlijke meststoffen en ruwe mi...","EU (exclusief Nederland)","2022 april*","72","131","59",".","."
"27 Natuurlijke meststoffen en ruwe mi...","Niet-EU","2021 mei","44","24","-19","32,9","16,1"
"27 Natuurlijke meststoffen en ruwe mi...","Niet-EU","2021 juni","37","25","-12","-1,1","50,4"
"27 Natuurlijke meststoffen en ruwe mi...","Niet-EU","2021 juli","35","26","-9","28,8","32,7"
"27 Natuurlijke meststoffen en ruwe mi...","Niet-EU","2021 augustus","42","27","-15","89,1","61,2"
"27 Natuurlijke meststoffen en ruwe mi...","Niet-EU","2021 september","31","27","-4","5,7","34,1"
"27 Natuurlijke meststoffen en ruwe mi...","Niet-EU","2021 oktober","26","23","-3","-31,3","8,2"
"27 Natuurlijke meststoffen en ruwe mi...","Niet-EU","2021 november","36","30","-6","2,2","36,0"
"27 Natuurlijke meststoffen en ruwe mi...","Niet-EU","2021 december","40","29","-11","57,6","17,4"
"27 Natuurlijke meststoffen en ruwe mi...","Niet-EU","2021","419","306","-114",".","."
"27 Natuurlijke meststoffen en ruwe mi...","Niet-EU","2022 januari*","34","23","-11",".","."
"27 Natuurlijke meststoffen en ruwe mi...","Niet-EU","2022 februari*","34","31","-3",".","."
"27 Natuurlijke meststoffen en ruwe mi...","Niet-EU","2022 maart*","55","29","-25",".","."
"27 Natuurlijke meststoffen en ruwe mi...","Niet-EU","2022 april*","54","27","-27",".","."
"28 Metaalertsen en metaalafvallen","Totaal landen","2021 mei","432","588","156","47,8","79,1"
"28 Metaalertsen en metaalafvallen","Totaal landen","2021 juni","581","706","125","96,0","104,5"
"28 Metaalertsen en metaalafvallen","Totaal landen","2021 juli","525","566","41","71,0","33,2"
"28 Metaalertsen en metaalafvallen","Totaal landen","2021 augustus","452","507","55","63,1","38,0"
"28 Metaalertsen en metaalafvallen","Totaal landen","2021 september","451","617","166","30,0","46,0"
"28 Metaalertsen en metaalafvallen","Totaal landen","2021 oktober","404","643","239","24,7","35,6"
"28 Metaalertsen en metaalafvallen","Totaal landen","2021 november","508","654","146","55,4","42,8"
"28 Metaalertsen en metaalafvallen","Totaal landen","2021 december","504","583","79","39,6","40,9"
"28 Metaalertsen en metaalafvallen","Totaal landen","2021","5.683","7.217","1.534","46,8","49,2"
"28 Metaalertsen en metaalafvallen","Totaal landen","2022 januari*","422","556","133",".","."
"28 Metaalertsen en metaalafvallen","Totaal landen","2022 februari*","465","603","138",".","."
"28 Metaalertsen en metaalafvallen","Totaal landen","2022 maart*","543","746","203",".","."
"28 Metaalertsen en metaalafvallen","Totaal landen","2022 april*","521","784","263",".","."
"28 Metaalertsen en metaalafvallen","EU (exclusief Nederland)","2021 mei","266","372","106","74,2","57,6"
"28 Metaalertsen en metaalafvallen","EU (exclusief Nederland)","2021 juni","311","396","85","80,7","71,1"
"28 Metaalertsen en metaalafvallen","EU (exclusief Nederland)","2021 juli","311","397","86","60,0","53,1"
"28 Metaalertsen en metaalafvallen","EU (exclusief Nederland)","2021 augustus","264","358","94","63,3","49,3"
"28 Metaalertsen en metaalafvallen","EU (exclusief Nederland)","2021 september","257","352","95","18,0","34,9"
"28 Metaalertsen en metaalafvallen","EU (exclusief Nederland)","2021 oktober","283","399","116","42,6","42,7"
"28 Metaalertsen en metaalafvallen","EU (exclusief Nederland)","2021 november","295","442","147","31,5","63,7"
"28 Metaalertsen en metaalafvallen","EU (exclusief Nederland)","2021 december","298","371","73","37,0","47,4"
"28 Metaalertsen en metaalafvallen","EU (exclusief Nederland)","2021","3.380","4.465","1.085",".","."
"28 Metaalertsen en metaalafvallen","EU (exclusief Nederland)","2022 januari*","270","367","97",".","."
"28 Metaalertsen en metaalafvallen","EU (exclusief Nederland)","2022 februari*","294","424","130",".","."
"28 Metaalertsen en metaalafvallen","EU (exclusief Nederland)","2022 maart*","329","485","156",".","."
"28 Metaalertsen en metaalafvallen","EU (exclusief Nederland)","2022 april*","329","544","215",".","."
"28 Metaalertsen en metaalafvallen","Niet-EU","2021 mei","166","216","50","18,8","134,1"
"28 Metaalertsen en metaalafvallen","Niet-EU","2021 juni","270","310","40","117,3","172,6"
"28 Metaalertsen en metaalafvallen","Niet-EU","2021 juli","213","169","-44","90,3","2,1"
"28 Metaalertsen en metaalafvallen","Niet-EU","2021 augustus","188","149","-39","62,7","16,7"
"28 Metaalertsen en metaalafvallen","Niet-EU","2021 september","194","265","71","50,1","64,1"
"28 Metaalertsen en metaalafvallen","Niet-EU","2021 oktober","121","245","123","-3,4","25,5"
"28 Metaalertsen en metaalafvallen","Niet-EU","2021 november","213","212","-1","107,8","12,8"
"28 Metaalertsen en metaalafvallen","Niet-EU","2021 december","206","212","6","43,6","30,9"
"28 Metaalertsen en metaalafvallen","Niet-EU","2021","2.303","2.753","449",".","."
"28 Metaalertsen en metaalafvallen","Niet-EU","2022 januari*","152","189","37",".","."
"28 Metaalertsen en metaalafvallen","Niet-EU","2022 februari*","171","179","8",".","."
"28 Metaalertsen en metaalafvallen","Niet-EU","2022 maart*","214","261","47",".","."
"28 Metaalertsen en metaalafvallen","Niet-EU","2022 april*","192","240","48",".","."
"29 Andere ruwe dierlijke en plantaard...","Totaal landen","2021 mei","383","1.441","1.057","18,5","24,2"
"29 Andere ruwe dierlijke en plantaard...","Totaal landen","2021 juni","321","1.112","791","-1,5","9,3"
"29 Andere ruwe dierlijke en plantaard...","Totaal landen","2021 juli","296","951","655","2,6","7,9"
"29 Andere ruwe dierlijke en plantaard...","Totaal landen","2021 augustus","307","1.074","768","20,4","24,2"
"29 Andere ruwe dierlijke en plantaard...","Totaal landen","2021 september","332","1.199","867","7,9","14,5"
"29 Andere ruwe dierlijke en plantaard...","Totaal landen","2021 oktober","330","1.100","769","6,6","8,3"
"29 Andere ruwe dierlijke en plantaard...","Totaal landen","2021 november","366","1.207","841","19,9","25,5"
"29 Andere ruwe dierlijke en plantaard...","Totaal landen","2021 december","364","1.148","784","20,1","10,9"
"29 Andere ruwe dierlijke en plantaard...","Totaal landen","2021","4.159","14.884","10.724","11,7","20,1"
"29 Andere ruwe dierlijke en plantaard...","Totaal landen","2022 januari*","316","1.134","818",".","."
"29 Andere ruwe dierlijke en plantaard...","Totaal landen","2022 februari*","363","1.479","1.116",".","."
"29 Andere ruwe dierlijke en plantaard...","Totaal landen","2022 maart*","397","1.582","1.185",".","."
"29 Andere ruwe dierlijke en plantaard...","Totaal landen","2022 april*","373","1.451","1.078",".","."
"29 Andere ruwe dierlijke en plantaard...","EU (exclusief Nederland)","2021 mei","187","1.026","840","9,1","29,8"
"29 Andere ruwe dierlijke en plantaard...","EU (exclusief Nederland)","2021 juni","157","740","584","9,2","8,2"
"29 Andere ruwe dierlijke en plantaard...","EU (exclusief Nederland)","2021 juli","129","612","483","4,3","9,1"
"29 Andere ruwe dierlijke en plantaard...","EU (exclusief Nederland)","2021 augustus","137","678","541","18,5","22,1"
"29 Andere ruwe dierlijke en plantaard...","EU (exclusief Nederland)","2021 september","156","757","601","11,0","12,6"
"29 Andere ruwe dierlijke en plantaard...","EU (exclusief Nederland)","2021 oktober","158","734","576","3,3","15,4"
"29 Andere ruwe dierlijke en plantaard...","EU (exclusief Nederland)","2021 november","181","768","587","6,7","29,2"
"29 Andere ruwe dierlijke en plantaard...","EU (exclusief Nederland)","2021 december","170","738","568","7,9","14,0"
"29 Andere ruwe dierlijke en plantaard...","EU (exclusief Nederland)","2021","2.016","9.852","7.835",".","."
"29 Andere ruwe dierlijke en plantaard...","EU (exclusief Nederland)","2022 januari*","141","760","619",".","."
"29 Andere ruwe dierlijke en plantaard...","EU (exclusief Nederland)","2022 februari*","155","1.004","849",".","."
"29 Andere ruwe dierlijke en plantaard...","EU (exclusief Nederland)","2022 maart*","183","1.090","907",".","."
"29 Andere ruwe dierlijke en plantaard...","EU (exclusief Nederland)","2022 april*","170","1.012","843",".","."
"29 Andere ruwe dierlijke en plantaard...","Niet-EU","2021 mei","197","414","218","29,2","12,2"
"29 Andere ruwe dierlijke en plantaard...","Niet-EU","2021 juni","164","372","208","-10,0","11,7"
"29 Andere ruwe dierlijke en plantaard...","Niet-EU","2021 juli","167","339","172","1,2","5,8"
"29 Andere ruwe dierlijke en plantaard...","Niet-EU","2021 augustus","169","396","227","21,9","28,0"
"29 Andere ruwe dierlijke en plantaard...","Niet-EU","2021 september","176","442","266","5,3","18,0"
"29 Andere ruwe dierlijke en plantaard...","Niet-EU","2021 oktober","172","366","193","9,8","-3,5"
"29 Andere ruwe dierlijke en plantaard...","Niet-EU","2021 november","184","438","254","36,4","19,4"
"29 Andere ruwe dierlijke en plantaard...","Niet-EU","2021 december","194","410","216","33,3","5,9"
"29 Andere ruwe dierlijke en plantaard...","Niet-EU","2021","2.143","5.032","2.889",".","."
"29 Andere ruwe dierlijke en plantaard...","Niet-EU","2022 januari*","175","374","199",".","."
"29 Andere ruwe dierlijke en plantaard...","Niet-EU","2022 februari*","208","475","267",".","."
"29 Andere ruwe dierlijke en plantaard...","Niet-EU","2022 maart*","214","492","278",".","."
"29 Andere ruwe dierlijke en plantaard...","Niet-EU","2022 april*","204","439","235",".","."
"Bron: CBS."